"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1556,83,3.20051413881748,1.46529562982005,-0.0120481927710843,-0.038560411311054,0.265060240963855,45,46,5,17,33,10,22,25,4,15,11,3.45416452442159,6,1,2,0,0,2,6,2,5,0,3,0,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",1016,53,3.12992125984252,1.77165354330709,0.226415094339623,0.708661417322835,0.339622641509434,28,16,4,6,13,1,3,19,0,6,9,-1.51600393700787,1,0,1,1,4,0,1,0,0,0,4,0,1,1
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",1409,78,3.32150461320085,1.66075230660043,0.0256410256410256,0.085166784953868,0.358974358974359,38,36,5,11,22,3,8,23,3,11,14,12.2273101490419,7,1,0,5,8,1,3,0,0,1,2,1,0,3
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",1725,93,3.23478260869565,1.63478260869565,0.0645161290322581,0.208695652173913,0.344086021505376,49,43,8,16,30,7,15,24,7,16,16,19.2198956521739,15,4,3,3,4,4,8,4,8,0,4,1,0,3
"Jacob Groves",0,0,NA,Inf,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,9,1,0,0,0,3,4,3,4,0,1,1,0,4
"Jordan Minor",700,42,3.6,2.05714285714286,0.238095238095238,0.857142857142857,0.333333333333333,23,13,3,5,11,0,2,16,3,5,7,3.35914285714286,0,0,1,0,0,0,1,0,0,2,1,0,1,0
"Leon Bond III",1000,55,3.3,1.74,0.0727272727272727,0.24,0.290909090909091,28,24,4,10,22,3,11,21,2,9,8,48.8532,12,0,0,4,6,4,5,0,0,5,4,2,0,0
