"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1771,88,2.98136645962733,0.779220779220779,-0.204545454545455,-0.609824957651045,0.204545454545455,42,60,6,18,42,2,10,18,7,21,9,0.517097684923773,5,1,0,0,1,2,8,1,4,0,2,0,0,1
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",516,32,3.72093023255814,1.16279069767442,0.03125,0.116279069767442,0.3125,15,14,3,4,12,0,1,8,3,7,5,-13.3947674418605,0,0,0,0,0,0,3,0,0,0,1,0,1,3
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",625,41,3.936,0.672,-0.0975609756097561,-0.384,0.341463414634146,13,17,6,4,14,0,2,10,3,10,7,22.200096,6,0,2,2,2,2,4,0,0,0,3,2,0,0
"Isaac McKneely",2007,100,2.98953662182362,0.657698056801196,-0.25,-0.747384155455904,0.2,42,67,8,17,43,2,10,19,8,24,10,7.44266068759343,7,2,1,2,3,2,7,1,3,0,4,2,0,2
